texto_diario,emocion_principal,label
i am all about empowering women i truly feel that they are the more intelligent sex but what is enough,joy,0
i answer feeling clever again,joy,0
i tend to stop breathing when i m feeling stressed,anger,3
i describe this it is so wonderful i can close my eyes and remember the cool feel in my mouth with a rich creaminess but lightness,joy,0
i would recommend it strongly for any who feel isolated or lonely or even just interested in getting together with people in a still living good old fashioned truly diverse americana kind of way,sadness,1
i am hoping the weatherman is right with his forecast of stay at home dont venture out rain for tomorrow i am feeling all kind of creative,joy,0
i asked feeling slightly wimpy,fear,2
i could listen to those words and suddenly not feel so incredibly helpless,sadness,1
im inclined to believe that im simply too lazy to feel particularly greedy,anger,3
i am feeling very anxious and frustrated right now,fear,2
i feel like a snow globe that has been all shaken up and i m still waiting for the dust to settle,fear,2
i wouldn t feel as offended as i do now because the sign would be accurate,anger,3
i am so jealous im always jealous when he has fun without me and i fucking hate it i feel pathetic,sadness,1
i hear you loud and clear that this is an important issue for you but in the grand scheme of things i cant help but feel that this is so petty,anger,3
im still waiting for my new fairy lights to be delivered but i couldnt wait to get the tree up and make the house feel a little more festive,joy,0
i feel strangely tranquil and happy,joy,0
im feeling less like a woman and more like an embarrassed girl,sadness,1
im not going to lie i feel a little insulted,anger,3
i remember feeling as innocent as she looked that day,joy,0
i feel sort of numb,sadness,1
i mentioned previously it has only been over two months i am feeling hopeful that if i am having more positive thought i might be able to forgive her,joy,0
im feeling energetic and motivated with my kids the days can move so slowly,joy,0
i was still feeling terrible sore throat body aches stuffy nose congested etc,sadness,1
i believe i manged to tone it down here while retaining just enough flourish to make the suit feel special,joy,0
i was battling the desire to move away from her not wanting to be rude but seriously feeling disturbed by her nearness,sadness,1
i tell the people closest to me things that i am feeling and its as if they arent surprised because theyd known it all along,surprise,5
i do know that the stresses from this past week sensory overload oh and i have not been sleeping well are all contributing to my stoic type of feel however i am rather jolly and do not feel like i am in an icky mood at all,joy,0
ive been feeling so listless lately,sadness,1
ive been feeling a bit remorseful about our decision kicking myself that i was too cheap for my own good,sadness,1
i feel a conection between my beloved letter and the beloved envelope that i have customized,joy,0
i guess ill quit the predictions and quit feeling doomed,sadness,1
i feel like you re important to me,joy,0
i feel embarrassed for others that something so small makes them feel awkward,sadness,1
i feel like im damaged goods hah,sadness,1
i didn t feel rushed to finish millions of things and i was able to focus on each task separately,anger,3
i want to be able to leave my house on my own without feeling terrified and im going to work on this every day,fear,2
i always feel as though it is my role in life to be supportive to my friends as an example of joy and fun to remind them that life is good that we are good and that when they and we are not we can strive for them to be so,love,4
i feel very vulnerable about sharing things that i write but i hit the publish button anyway,fear,2
i feel that i have to justify this behavior to you my faithful blog reader,joy,0
i like to pull out when i ever i feel like being snobbish about my musical tastes,anger,3
i step back in the game day after day even when the odds of success seem out of favor i love on and when i feel nothing but ugly inside she is there to remind me of who i really am and nothing could be prettier than that,sadness,1
i find myself seeking and yearning for love and acceptance from people that can not provide it and then being disappointed when i am alone and feeling unloved and unworthy,sadness,1
i feel a trace of disgrace for the gracious man s embracing her bracelet,love,4
im left feeling paranoid and like it keeps getting harder to feel happy,fear,2
i feel like a dirty heal and unconformable,sadness,1
im feeling cranky im not going to lie,anger,3
i took a little liberty here artistic license perhaps and went with a festive feeling for these as well,joy,0
i don t feel cute like at all,joy,0
i have good camwhore skill thanks to instagram and pudding which is anotehr super popular social apps to post all your vain picture without feeling vain because others will do the same so ftw,sadness,1
i always feel this way in these moods but it s still unpleasant,sadness,1
i feel weird this morning,fear,2
i felt jealous when you i feel insecure when,fear,2
i feel so honored to have lindo guest starring on this post,joy,0
im just saying that if i did they would make me feel successful,joy,0
i feel so fucking horny,love,4
i noticed myself feeling victimized resentful fearful ripped off crazy my body reacted with sensations of tension and chaos,sadness,1
im a little tired of writing about these things and feel like these solemn posts are a bit too much for this home school family blog,joy,0
i am going to stop feeling sorry for myself,sadness,1
i feel so cool cool cool cool cool girl i feel so cool cool cool cool cool girl,joy,0
i really feel irritated with all these,anger,3
i think of how many years i spent feeling furious at my dramatic perspective of the world and my extremely sensitive nature,anger,3
i was feeling pretty anxious and overwhelmed as a friend rightly noted probably because i was on a boat with my mom grandmother and great aunt and no where to flee except the damn cold baltic sea,fear,2
i feel like the hymn says i stand all amazed at the love jesus offers me confused at the grace that so fully he proffers me,surprise,5
i dunno how it feels to be completely happy the real world has taught me about struggle but what i m going thru is nothing close to struggle,joy,0
i want or need to hear to make me feel valued,joy,0
i feel as if im in some strange catholic vortex,surprise,5
i make an arcade i have a very simple purpose and that is to try to make it feel absolutely comfortable physically emotionally practically and absolutely,joy,0
im starting to feel that im suffering from fatigue,sadness,1
im feeling doubtful about my writing dreams to know shes behind me,fear,2
i want to enter in defiance but coming from a different culture i feel offended that i am not allowed,anger,3
i feel so agitated about this,fear,2
i feel really valuable because of this knowing he considers me worth the sacrifice,joy,0
i also feel as though this assumption is rude as soon as they are informed they are married the next question follows do you have kids,anger,3
i was older i might not feel as frightened about spending the time i have left alone,fear,2
i do find new friends i m going to try extra hard to make them stay and if i decide that i don t want to feel hurt again and just ride out the last year of school on my own i m going to have to try extra hard not to care what people think of me being a loner,sadness,1
i feel a bit safer now in using the motivator that works and trusting that i will be able to use my other motivators and combat other parts of the ed if i am patient and strong,joy,0
i feel like im finally out of my box and free to be the person i was called to be,joy,0
i presented old work which made me feel guilty,sadness,1
i go from your presence from praying for wisdom and patience and feel so instantly furious,anger,3
i have for myself even when i m feeling crappy,sadness,1
im finally feeling a little more productive,joy,0
i think many of us feel burdened by this pervasive belief that we are in control of things going right or wrong in our lives,sadness,1
i really had prepared ourselves for the worst but we both had the innate feeling that everything was fine,joy,0
i is feeling insulted because everyone is comparing sneha with her,anger,3
ive been here for the last two or three months and yes i am playing with vinnie kompany but the other guys are good joleon kolo toure and they can also play well but im feeling good,joy,0
i want to just drown myself in the excitement and hype of the inauguration i still feel very troubled about where both america and the world are right now,sadness,1
i feel that is very unfortunate that i dont own the soundtrack,sadness,1
i have been feeling so bad that he has to be coherent and deal with teenagers all week,sadness,1
i feel kind of lame this time around,sadness,1
i still feel cute in my tight little work out pants and snug t shirt,joy,0
i feel at peace relaxed and not anxious or nervous or scared,joy,0
i also feel strongly about supporting the local economy so for the past years i am proud to have driven gm cars in a gm community,joy,0
i told him how he has been making me feel unimportant and insignificant,sadness,1
i have been wanting to write about a secret life i live one that only a handful of people know about one i keep secret and one that i feel embarrassed about even though i know it is perfectly human normal and deep down i feel it is right,sadness,1
i will focus on either an infantry company or if im feeling either brave or stupid enough a motorbike company for the rest of the challenge but ill leave it until the time and see how i feel then,joy,0
i feel invigorated and jolly,joy,0
i feel like i need to emphasize that because i was very impressed with the color of it,surprise,5
i heard it somehow it brings me good feeling strange,fear,2
i almost feel greedy with my rd child when so many people i know are working so hard for or,anger,3
i feel i can step into the world of men with a dignified stance,joy,0
i like to buck the system and climb on my soapbox when i feel wronged or see others wronged but for the most part i am more comfortable with a society that accepts certain behaviors as moral truths,anger,3
im usually so strong but she has this ability to make me feel like a naughty child that doesnt know what shes talking about,love,4
i need to take my own advice and the advice of many many writers who i admire get the butt in the chair every day even if youre feeling distracted or stressed or whatever,anger,3
i would not feel so all alone everybody must get stoned,sadness,1
i nodded proud of my decision to procure a pump feeling slightly smug,joy,0
i want her to feel worthwhile because she is,joy,0
i feel like there has been way too much products on the blog lately and i miss the amazing home,joy,0
ive just come back from work and now im not in again saturday so im going to spend my time playing some games and tidying up the flat a bit its nice to just feel relaxed and in control for a change,joy,0
i feel lucky photo supreme point,joy,0
i feel i must apologise as i was a little giggly tonight and received a raised eyebrow from a sensible member of the youth orchestra,joy,0
i took away all the disappointed feeling all the paining i gave my heart to be heal by lord because he s the only one love who never betrayed never lose loyalty even i didn t loyal to him,love,4
i feel like i am carrying him suuuper low too,sadness,1
i try to hold my tongue try to see it from his point of view but inside i am feeling agitated and irritable about all this pressure to please him when i cannot seem to get my own self in order,fear,2
i take a look as i try to get used to the feeling of his touch innocent as it is,joy,0
i visit cantina i leave feeling that the food is lovely but not always worth the price,love,4
i can t be with her in portland and i feel fairly useless here in strasbourg,sadness,1
i am feeling amazing mostly normal i am going to a pre thanksgiving celebration with our friends from that time we were in softball,joy,0
i hope the pair of us harbor no hard feelings and do enjoy casual chats about the ways our lives turn out without needing to press a title into everything,joy,0
i feel so selfish but i just want to keep my baby close for awhile and not let the rest of the world in unless i feel like it,anger,3
i guess she was feeling pretty hesitant,fear,2
i feel like an innocent victim i feel that i just can t win,joy,0
i longed for that feeling i once knew the feeling i treasured once and forgot because of pain,love,4
ive been feeling completely stupid about this whole thing,sadness,1
i didnt used to feel so defective when younger yet i did sometimes,sadness,1
i feel like i have to fight with myself to not give in to it but sometimes the battles are ferocious,anger,3
i feel that the people i have allocated my questionnaire to a representatives of my target audience so therefore their results are valuable to the success of my advertisement,joy,0
i suspect i was also dealing with caffeine withdrawal but i think i have now figured out a system of eating which works well for me and i feel fab,joy,0
i feel so special that so many people prayed so hard for me,joy,0
when i learnt that i had been accepted at the medical school,joy,0
i do not feel miserable at all because my family is not the type that celebrates eid,sadness,1
i got this very sexy latex outfit from their lucky chair it made me feel very naughty the hair is called hungover and it is free by a href https marketplace,love,4
i am already feeling very much lousy i seriously do not need anyone to give me comments,sadness,1
i more important than going fun ipad strategy games original boots from ugg wear ugg boots this winter low cost ugg boots uggs need to get washed inside they are also lightweight so you won t feel burdened with them speed up finances with payday loans payday loans the monthly solution for you,sadness,1
i feel like a lousy person because i really cant think of anything profound to say,sadness,1
i have a desk job and sit on my ass all day long so sometimes i feel paranoid that i m not being active enough and think things like dear god what if i get so fat that i can never lose the baby weight,fear,2
i swear he had feelings that teddy i was so convinced of that and i was very very careful to always make him feel special and more loved than any of my other toys and teddies,joy,0
im trying to be intuitive often just makes me feel sort of confused and nauseous,fear,2
i feel a strange sense of achievement that i have scraped every nook and cranny of the shells for juicy morsels,fear,2
i would love to stop feeling so effing needy,sadness,1
i feel so immensely blessed that i was chosen to be little joeys mom,love,4
i been so acquainted with sleep i feel like i should name it to ensure im not being rude or maybe it has a name already,anger,3
i am feeling soooooooo giggly,joy,0
i feel like i m on a roller coaster of craziness but i keep in mind that my throne is precious to my lady and i and i will do anything to keep it the way it is even if that means killing the people around me,joy,0
i bought some eggs and because i was feeling adventurous i also got a whole chicken and an oxtail,joy,0
i feel very inadequate physically,sadness,1
i feel cold spots,anger,3
i feel so respected and seen,joy,0
i am feeling impatient restless excited,anger,3
i feel like i had this bitchy undertone the whole convo like kinda sarcastic,anger,3
i got to feel our sweet girl kick in my belly and he never had that intimacy with her,love,4
ive been resting and feeling generally unpleasant and queasy but in that frustrating background way where you dont feel right but cant place an exact cause,sadness,1
i felt this was my next step and i dont want to be doubtful but i feel dumb keeping a hope for so much money to come through in such a short time,sadness,1
i have started this journal because i feel like a bunch of unfortunate and seemingly random things happen to me and i would like to keep track of them,sadness,1
ive been feeling a bit remorseful about our decision kicking myself that i was too cheap for my own good,sadness,1
i could never feel the kind of security intimacy and love that i have been longing for in this lifetime,love,4
