texto_diario,emocion_principal,label,predicted,confidence
i feel extraordinarily clever,joy,0,joy,0.9907457828521729
i love hanging with the kids feeling calm focused and relaxed a burgeoning garden working out spending time with friends and loved ones dinner parties celebrations creative time weekends away healthy house plants,joy,0,joy,0.9935605525970459
im feeling overwhelmed by college with everything else that had happened this semester,fear,2,surprise,0.9420579671859741
i feel more like the girl i was when i was at i was fearless excited for life and discovery,joy,0,joy,0.9904341697692871
i feel all ecstatic every time i see the new old opening credits on one tree hill a href http twitter,joy,0,joy,0.9943653345108032
i remember feeling absolutely devastated when i heard that peach wasn t actually there to give me cake,sadness,1,sadness,0.9899354577064514
i feel im getting less and less vigorous,joy,0,joy,0.9942916631698608
im here to tell you you arent alone if you feel vulnerable,fear,2,fear,0.9909191131591797
i could do was feel i felt thankful that her battle was over thankful that she was now in a place of serenity,joy,0,joy,0.9920501112937927
i get that its easiest for them to jolt people into submission with electricity but i get the feeling that its becoming a more socially acceptable version of beating someone with a billy club,joy,0,joy,0.9933342933654785
i often find myself feeling assaulted by a multitude of sense impressions,sadness,1,fear,0.9147160053253174
i feel amazing when i lift,surprise,5,surprise,0.8605022430419922
i have been feeling strong and optimistic and then bam,joy,0,joy,0.993802547454834
i gotta feeling da bul taewuhbeoryeo burn it up i gotta feeling niga ulbujitneun nal ah neoneun wiheomhae gal ttaekkaji gatsseo get away woooo becuz i m cuz i m dangerous b,anger,3,anger,0.9740936160087585
i get scared i feel ignored i feel happy i get silly i choke on my own words i make wishes i have dreams and i still want to believe anything can happen in this world for an ordinary girl like you like me for an ordinary girl like you like me how are you,sadness,1,sadness,0.9896955490112305
i am sure the organisation themselves have the best of intentions though i disagree with them whole heartedly its just i get the feeling that some of the demostrators will be slightly hostile to students,anger,3,anger,0.9849588871002197
i like the idea of wearing things that are comfortable and make me feel cute,joy,0,joy,0.9934460520744324
i guess so walking around feeling cranky and mad,anger,3,anger,0.9911585450172424
i feel like copying the handsome boy say yay so fun,joy,0,joy,0.9941721558570862
i feel invigorated and enthusiastic,joy,0,joy,0.9930639863014221
i made it and enjoyed most of my run but now i m feeling greedy,anger,3,anger,0.9902382493019104
i feel listless but today was aiiiiighhhht,sadness,1,sadness,0.9937847852706909
i heap the guilt on and feel worthless and embarrassed because of my lack of productivity,sadness,1,sadness,0.9937479496002197
im beginning to feel my way around the systems and im very impressed with the overall level of automation and control that goes into making memset what it is,surprise,5,surprise,0.9709464311599731
i believe feeling duality spirituality suffering and growth in an upright position offers the manifestation of happiness simple joys and fulfillment,sadness,1,joy,0.99348384141922
i feel so honored to have been a part of this year,joy,0,joy,0.992110550403595
i just sat there feeling so empty and lost and scared,sadness,1,sadness,0.9944748282432556
i never want to be rude even when i feel someone has been rude to me and even then i don t want to i feel like i need to like if i don t crush the offender thoroughly i will be left in tears in front of everyone because i am so sensitive,anger,3,anger,0.9805004596710205
ive felt the last few days i feel fucking fantastic today,joy,0,joy,0.9943264126777649
i had then these were truly terrifying and still feel shaken and uneasy because of them,fear,2,fear,0.9893265962600708
i am feeling just so relieved right now,joy,0,joy,0.9937518239021301
i know i can do it and in fact that i will but i feel terrified that the stories won t be as good as they could be and that any readers that i can actually convince to buy the book will read it and hate it and never want to read anything by me again,fear,2,fear,0.9916895627975464
i feel delighted to contact you,joy,0,joy,0.9911767244338989
i have my own mind and i feel like my mind is dangerous to my life,anger,3,anger,0.9846582412719727
i feel like a hot mess and i probably am,love,4,love,0.9762408137321472
im happy there are people in this world that have been so untouched by mental health issues that they feel it is cute to make light the plight of the affected but unfortunately they dont realize the damage they are doing,joy,0,joy,0.9924139380455017
i feel like i should have actively hated every single second rather than just borne it all,anger,3,anger,0.9499745965003967
i am keen to incorporate more use of recovery tool and i feel that as a tool this can useful in allowing patient control over their mental health,joy,0,joy,0.9943286776542664
i have never met in real life but feel super bonded to through crisis pregnancies and genius children and my new friend sara at a href http everybitterthingissweet,joy,0,love,0.5835827589035034
im feeling adventurous i get the philips better lemon chicken,joy,0,joy,0.9887941479682922
i wish i could feel that more because i always lose sight of it but just remembering that is something amazing,joy,0,surprise,0.6939714550971985
i feel so humiliated because as i was spending my days off planning a beautiful wedding he was calling texting taking some other girl out and fucking her,sadness,1,sadness,0.9915381669998169
i do feel blamed for everything i,sadness,1,sadness,0.9932984709739685
im not sure that feeling slightly wronged by the police the sheriff or the tsa is always a bad thing,anger,3,anger,0.9889412522315979
i am feeling convinced by the argument extended once by bal thackerey of not allowing pakistan to play on indian soil till they show by thought action and creed that they really want friendly relations with india,joy,0,joy,0.9943194389343262
i feel like i shouldnt have even bothered,anger,3,anger,0.9908373355865479
i feel infuriated every time that the christmas season draws near,anger,3,anger,0.9905203580856323
im confident a lot of people who feel that zimmerman should be punished,sadness,1,sadness,0.9898548126220703
i have a feeling david is going to turn out to be a terrific father hes already exposing his newborn son to the world of the geek,joy,0,joy,0.99443519115448
when i was ditched by my girlfriend,sadness,1,sadness,0.7840836644172668
ive been feeling a little stupid because i dont know how,sadness,1,sadness,0.992857813835144
i guess how this clouds your viewing depends on how you feel about filmic content personally i dont really give a shit what a film is saying so much as the way its being said and in this case the film is simply too great to ignore but its a sour note in an otherwise delicious orgy of depravity,joy,0,joy,0.7836569547653198
i feel people just don t know how to fish them properly and therefore are not as popular as they should be,joy,0,joy,0.9940599799156189
i was feeling very festive i decided to paint my nails for the holiday events,joy,0,joy,0.9934566617012024
i am feeling quite disorganised and distracted and i wish i could answer some of the questions i seem to be unable to block out or forget or answer with logical answers uuuugh,anger,3,sadness,0.9392845034599304
i feel it is worthwhile to document it for people who are not familiar with batch files,joy,0,joy,0.9933319687843323
i feel ecstatic relived and most of all from the bottom of my heart truely grateful to,joy,0,joy,0.99310302734375
i need to work on better nutrition all the time because when i do i feel amazing,joy,0,surprise,0.6794674396514893
i also feel that no one in the music school is really being very supportive of me on this,love,4,love,0.9597468972206116
i wake up real life husband i feel melancholy towards day,sadness,1,sadness,0.9934976100921631
i am so blessed and feel blessed to be able to share my creations with you,joy,0,joy,0.5645294785499573
i feel everything around me is fucked everyone around me is falling to pieces,anger,3,anger,0.9813886880874634
i dont like the way i feel when i am angry,anger,3,anger,0.9910135865211487
ive never thought i would feel so guilty for trying to protect someones feelings,sadness,1,sadness,0.9924322366714478
i struggled with feeling like myself because myself liked bands and the s and david hockney and photography and collecting things and no body really understood those things because no body does understand you when you re,love,4,love,0.6282088756561279
i began to feel a little cold,anger,3,anger,0.9779110550880432
i feel amazing after every thrift trip i got on and to have some many in a small amount of time if my idea of bliss once i am earning again i will re claim my crown of thrift princess,surprise,5,surprise,0.8475266098976135
i get the feeling she doesnt really want to talk to me now so im hesitant on what to do from now on,fear,2,fear,0.9917547702789307
i am not a regular member of this group meaning that i do not follow whats going on very often and also i feel a bit shy in budding in when i do not have much to say but today i have a request for you people,fear,2,fear,0.9883266091346741
i feel like staying in a barn so carefree,joy,0,joy,0.9945567846298218
i left the hospital that night feeling helpless,sadness,1,fear,0.9834376573562622
im feeling slightly irritable but generally level headed and actually not in a bad mood,anger,3,anger,0.9909818768501282
i will reach out to you when i am feeling uncertain and needing the support or the slap upside the head that i know you can provide me,fear,2,fear,0.9917364716529846
i feel remorseful when i act the drunken fool too,sadness,1,sadness,0.9935583472251892
i only talk when i feel like i have something valuable to say,joy,0,joy,0.9939523339271545
i honestly feel is almost tragic,sadness,1,sadness,0.9935874938964844
ive been feeling a bit shitty about myself these past few days and there has been a sudden drop of self esteem going on,sadness,1,sadness,0.9936342239379883
i feel like an ass saying that since my sweet sister has gone through quite possibly the worst year of her life at the same time,joy,0,joy,0.544110894203186
i feel fine about that,joy,0,joy,0.9932594895362854
i figured out why i feel so crappy and so now i don t feel so crappy because a lot of feeling crappy comes from trying to figure out why certain negative emotions exist especially when my life is pretty damn good most of the time ya,sadness,1,sadness,0.9921938180923462
i am mostly feeling contentedly terrified about it all,fear,2,joy,0.9941563606262207
i feel somewhat remorseful that i wont be around for this move in weekend but i think its for the better that i do this study if it doesnt seem like a good thing i can always back out and come home to oakland and everyone,sadness,1,sadness,0.9916845560073853
i feel like i am really valuable to him,joy,0,joy,0.9940704703330994
im feeling awfully proud of myself for sticking to it,joy,0,joy,0.9931148886680603
ive collected as i feel its vital to create something precious from those items as a tribute to the earth and its power generosity,joy,0,joy,0.9935899972915649
i want you on the trip that i feel is cool,joy,0,joy,0.9939146637916565
i am feeling so low lately just feeling of hopelessness is very disturbing making me tired and sick entire of living this kind of life,sadness,1,sadness,0.9939337372779846
i dont forget it i embrace it i dont feel pity i feel proud,joy,0,joy,0.9920352101325989
i was feeling quite impressed with myself for taking just eight months to finish just the lyrics for one fairly simple though sufficiently tortured emo song,surprise,5,surprise,0.9700431227684021
i miss it when i feel no one person who ignored me,sadness,1,sadness,0.9660314917564392
i also feel disappointed in his mother gertrude,sadness,1,sadness,0.9918724894523621
im definitely feeling remorseful about,sadness,1,sadness,0.993310809135437
i have been feeling strong and optimistic and then bam,joy,0,joy,0.993802547454834
i still have a way to go but i am so much closer to the finish line than the start line and that feels amazing,joy,0,surprise,0.8822976350784302
i also have the feeling i need a very relaxed practice today,joy,0,joy,0.9938797950744629
i avoid saying fail because it makes me feel rotten and i know it is not good for my confidence,sadness,1,sadness,0.9914813041687012
i am feeling doubtful that nutritional methods alone will solve the problems,fear,2,fear,0.9915412068367004
i hope he makes some friends and feels welcomed,joy,0,joy,0.9931848645210266
im definitely feeling festive,joy,0,joy,0.9936255216598511
ive been feeling lately that i am much less likeable than i used to be,joy,0,joy,0.9834496378898621
i can but i feel massively uncomfortable doing it it consumes massive amounts of processing power and i associate it with some very bad situations ive been in recently,fear,2,fear,0.9903378486633301
im really really sad that i missed the menswear show because i feel like its worth supporting this venture to show more menswear,joy,0,sadness,0.9338982105255127
i feel all gloomy and i hate it,sadness,1,sadness,0.9936098456382751
im feeling so mellow right now and so im listening to coldplays song yellow,joy,0,joy,0.9930362105369568
im feeling really festive now tree is up amp decorated apart from the fairy shes still in the loft will have to go and find her tomorrow,joy,0,joy,0.9945052266120911
i am too dazed confused and too drowned in what women looks for looks wise in a man and feel that i am doomed if i can t aspire to these,sadness,1,sadness,0.9562880992889404
i should have known she likes kamiki kun he laughs nozomi feels an unpleasant knot in her stomach you must think i m a fool don t you nonchan,sadness,1,sadness,0.9846893548965454
i feel so bad that im posting this blog so late,sadness,1,sadness,0.9925563931465149
i have to admit these hilarious e cards are seriously exactly how i feel i am so stressed out i feel at any moment i could start hy,sadness,1,sadness,0.5255908966064453
i feel like i m watching another copy of my beloved son created for the english speaking world being wonderful clever and delightful in new and different ways,joy,0,joy,0.9890604019165039
i feel that i m indulging him at times nor does it help that when we started talking his approach was more friend zone friendly than an i want to date you approach,joy,0,joy,0.930136501789093
i feel something inside paul saying fuck it lets do this lets go for it go for broke,sadness,1,sadness,0.9922715425491333
i remembered seeing these pieces and feeling so impressed by them but seeing them again i was surprised i was blinded by my memories,surprise,5,surprise,0.9752439856529236
im already not feeling terrific,joy,0,joy,0.9938908815383911
i know i dont live in new york anymore but i feel so outraged that this could happen in my city,anger,3,anger,0.9896596074104309
i feel like as much as it was an unfortunate situation that i wasnt with my father i was in a great place,sadness,1,sadness,0.9906938672065735
i kinda like you when i saw hannah montana but since you broke up with nick i feel like you are so a heartless person,anger,3,anger,0.987922728061676
im feeling pretty annoyed with the whole thing i decided to share those reasons we rejoice,anger,3,anger,0.9910077452659607
i feel a little abused about this whole situation,sadness,1,sadness,0.9932956099510193
im feeling low i usually just want to lay in bed and do nothing,sadness,1,sadness,0.9941520094871521
i am being selfish but i feel like me trying to make him horny is redundant because he is always horny and i feel like he should try harder to make me horny,love,4,anger,0.951946496963501
i got the feeling that steve was impressed that bi was used in manufacturing and not only in finance as in the us,surprise,5,surprise,0.9730183482170105
i feel so amazed with myself as i could stride nonstop for more than minutes,surprise,5,surprise,0.9764698147773743
i do feel tender,love,4,love,0.9816664457321167
i keep going back to people are douche canoes because they need to feel superior they need that ego boost they need someone to look down upon,joy,0,joy,0.9926226139068604
i feel so rude saying i ll get back to you cause shes so nice and needs me but i d prefer to work in a href http www,anger,3,anger,0.989782452583313
im feeling playful google doodle of pac man game,joy,0,joy,0.9914359450340271
i have been absolutely useless written about nothing at all and feel like im neglecting my faithful followers by failing to update the blog today,joy,0,sadness,0.9898006319999695
i feel bad for searching for rule,sadness,1,sadness,0.9934723377227783
insulted by disgusting people,anger,3,anger,0.9738993644714355
i hope i would be able to understand and not make my friend feel pressured into doing anything they did not want to do,fear,2,fear,0.9889003038406372
i had the love of my life in nathan been in love and shit and here was travis and i felt hardly anything and im sitting here feeling doomed that i would never again find someone who would give me that spark,sadness,1,sadness,0.9925075173377991
i do feel sad for myself for not wanting that and thoughts extend up to a point that ill die alone,sadness,1,sadness,0.9935697317123413
i was alone in a cottage i often stay in i was woken up by a rustling sound in the middle of the night,fear,2,fear,0.8414264917373657
i normally feel kind of awkward at birthday dinner parties since theres always someone i dont know but not this time,sadness,1,sadness,0.991722047328949
i always feel kinda sad for them when the authority figures eventually show up on the scene and squeeze all of the risky fun out of their play time,sadness,1,sadness,0.9926486611366272
i left for work feeling still unpleasant and cheered up a mite bit once i got there,sadness,1,anger,0.5462783575057983
i do really feel treasured by you too,love,4,love,0.5031058192253113
i feel like it s boring,sadness,1,sadness,0.9919792413711548
i am not a catholic i certainly don t feel it is my place to take sides on this issue but i am curious how the leadership of the catholic church will mesh with its own people over these issues in the coming years,surprise,5,surprise,0.928045928478241
i feel like im the bitter old lady who has had such a long life and just cant deal with it anymore,anger,3,anger,0.9845591187477112
i feel really fucked up still,anger,3,anger,0.9833199381828308
i feel sad donna summer dead at a href http jtwoo,sadness,1,sadness,0.9935221076011658
i turned in for the night feeling about as mellow as could be expected given the circumstances,joy,0,joy,0.993776798248291
i feel tranquil now,joy,0,joy,0.9943612813949585
i wish i didnt feel this afraid to talk to new people,fear,2,fear,0.9922335147857666
i will try plead my case to those who may be feeling unloved and abandoned by me and those who cant empathise with my position read on,sadness,1,sadness,0.9931341409683228
i feel so vain when i look at myself and notice how much i like my nose or how nice my face structure is,sadness,1,sadness,0.9911352396011353
i do feel sympathetic to the parties involved now that their careers are down the drain,love,4,love,0.9747835397720337
i was the compere at a party and all my efforts to get the show rolling were thwarted by the immobile,anger,3,sadness,0.8202541470527649
i feeling boring,sadness,1,sadness,0.992453396320343
i could before the actual thing and then if i still couldn t figure out if i d feel embarrassed not knowing how to get in line or how to get a drink or where to park my car or whatever i just wouldn t go,sadness,1,sadness,0.9915755391120911
i had been feeling rather unhappy lately because id been feeling left out of groups friends,sadness,1,sadness,0.9930436611175537
i feel alone all the time and he just happened to be there,sadness,1,sadness,0.990885853767395
i apply it i walk very fast around the room because the rush of air against the essence on my lips feels very cool,joy,0,joy,0.9937206506729126
i could even feel his cold breath on my neck whispered hertha as she ran her fingers across the side of neck,anger,3,anger,0.979522705078125
i feel like it my beloved burkie who i miss more than words can ever say,joy,0,joy,0.9072240591049194
i still feel very very disheartened,sadness,1,sadness,0.992249608039856
the day i received the key of my apartment and we could enter in it,joy,0,fear,0.5255733728408813
i get a little twitchy when i feel like someone is depending on me and i have to have a flawless job done in the end,joy,0,joy,0.9939537644386292
i declined this invitation but secretly i could not help but feel curious,surprise,5,surprise,0.9503821730613708
i again feel like going out in a friendly and safe environment i am booking a flight to pe,joy,0,joy,0.9926920533180237
i want to feel pain in my chest when something terrible happens and i want to cry happy tears when something good happens,sadness,1,sadness,0.7973872423171997
i was beginning to feel almost jaded by backpacking i guess the endless bouncing around a title comfort v cash my backpacker struggle with overland travel href http www,sadness,1,sadness,0.9930154085159302
i sit down to author this letter i feel a little surprised that an entire year has already passed us by,surprise,5,surprise,0.9741386771202087
i am terrified and not feeling terribly keen right now,joy,0,joy,0.9250402450561523
i had continued to think along those lines i probably would have done the dishes in anger and when he got up wed have had a fight about that with me feeling completely abused,sadness,1,sadness,0.9932776093482971
i tell mummy that my stomach really not feeling well i really wanna go to toilet mummy ask me keep on eating,joy,0,joy,0.9912599921226501
i know you feel supporting an inept city manager who has cost the tax payers millions already with his bungling is important,joy,0,sadness,0.9911468625068665
i was feeling helpless as i could not explain it to him,sadness,1,fear,0.8996877074241638
i often feel like i am punished for the strengths i do have which is almost worse than no one even noticing my value,sadness,1,sadness,0.9903755784034729
ive finished it i feel foolish for having put any expectations on the story when i began reading it,sadness,1,sadness,0.9893226027488708
i feel quite photographically lethargic and drained its difficult to explain but im really happy my school semester is coming to an end,sadness,1,sadness,0.9932066202163696
i feel beaten up and tired mentally and physically,sadness,1,sadness,0.9927954077720642
i really feel like i have a lot to offer in this area i would like to focus on troubled teenagers,sadness,1,sadness,0.9901502132415771
i feel blessed that they enjoy those activities just like i do,joy,0,joy,0.6209670305252075
i want to be someone that people can approach and feel accepted by and not judged because i do feel that people feel judged by me,joy,0,joy,0.4981096684932709
i heard it somehow it brings me good feeling strange,fear,2,fear,0.5967406034469604
i have been feeling beaten down sick and utterly devoid of hope that i will ever have the life i want,sadness,1,sadness,0.9938238859176636
im feeling so devastated by losing something that others may see as trivial my god takes on that weight as if it was his own,sadness,1,sadness,0.9919970631599426
i feel a little uptight because i have to really be conscious and careful about everything that happens,fear,2,fear,0.972984790802002
i feel delicious thanks,joy,0,joy,0.9932374954223633
i got contact lenses the other day and am trying to get used to them i feel like my face looks really weird without glasses and its so strange when i see myself from a distance,surprise,5,fear,0.5769456028938293
i have a feeling they ll think it s dumb so i d rather just do this on my own for a while,sadness,1,sadness,0.9897578954696655
i feel useless and helpless and broken,sadness,1,sadness,0.993647038936615
i feel that it is vital that the artist has a passion for what he she does,joy,0,joy,0.9940973520278931
i just feel like i dont like supporting walmart because maceys has such good family values and is closed on sundays and isnt trying to take over mom and pop stores but i have to be a smart consumer too,love,4,joy,0.9896597266197205
i didn t even think i was the type of person that could feel homesick,sadness,1,sadness,0.990371823310852
i feel tortured by all this and im not quite sure how to handle it other then getting drunk non stop so as to not feel anything at all,fear,2,fear,0.9204095602035522
i feel that the world is a tragic and woeful place to live in,sadness,1,sadness,0.9935425519943237
i didnt feel the stress i was under at telstra was worth it and with out thinking i just resigned,sadness,1,sadness,0.9460720419883728
