texto,real,pred_base,pred_finetuned,pred_frozen
i feel resentful and really work that resentment until i blow up,anger,fear,anger,sadness
i feel proud about her,joy,fear,joy,joy
im not sure if what im feeling is so extremely vulnerable or now that i feel so depressed and sad,fear,fear,sadness,sadness
i hope not pagetitle khatsii feeling fearful,fear,fear,fear,joy
i feel so relieved but at the same time i feel so lost,joy,fear,joy,sadness
im feeling a little smug this evening,joy,fear,joy,joy
i still post them because a i feel neglectful if i dont do anything on a site at least every once in awhile and b,sadness,fear,sadness,joy
i feel rude bring my own fridge i do eat food but i guess my option,anger,fear,anger,joy
i like earreading audiobooks so much because they make me feel productive by getting reading done while im doing other things like driving,joy,fear,joy,joy
i am feeling incredibly thankful for my family,joy,fear,joy,joy
i want to not feel angry because i haven t the right to feel that way,anger,fear,anger,sadness
i feel so burdened as if something is holding me still and weighing me down,sadness,fear,sadness,sadness
i like to keep them on hand when i m feeling not so brave or extraordinary,joy,fear,joy,joy
i feel glad and enthusiastic about the point of sand snorkeling,joy,fear,joy,joy
i really hope you guys can understand that some of the things i do is really because i feel either rejected or not right at the place,sadness,fear,sadness,sadness
i feel stressed always,sadness,fear,sadness,sadness
i feel crappy actually,sadness,fear,sadness,sadness
i feel remorseful but i am not ready to die and i do not look in the mirror,sadness,fear,sadness,sadness
i suggest you give it a listen i feel like i am blessed,love,fear,joy,joy
i feel the need to emphasize these things at the moment because of how grumpy i have been this last week,anger,fear,anger,sadness
i wish i could help take the pain and anguish these families must be feeling innocent children killed while in school where they should be safe,joy,fear,joy,sadness
i feel accepted for who i am,love,fear,joy,joy
i wish i did more of because every time i do i come away feeling invigorated and inspired,joy,fear,joy,joy
im meant to feel longing,love,fear,love,sadness
i feel like we all have somehow convinced ourselves that these really pointless events somehow mean everything to us,joy,fear,sadness,sadness
i woke up the morning of our hike feeling jubilant,joy,fear,joy,joy
i feel honored to have been on the show and my students were very excited for me giardina said,joy,fear,joy,joy
i wish things didn t feel so strange so out of place,fear,fear,surprise,sadness
i feel the market is in a somewhat dangerous position for traders who end up on the wrong side right now,anger,fear,anger,joy
i feel so frightened i just wanted to document the way i m feeling,fear,fear,fear,sadness
i kali ni feeling aku dah bertukar jadi boring benci,sadness,fear,sadness,joy
i would stay in charge thereby helping z to feel safe yet at the same time be nurturing and loving,joy,fear,joy,joy
i feel lethargic unmotivated needy and frustrated,sadness,fear,sadness,sadness
im feeling brave this would be nice with black tips,joy,fear,joy,joy
i feel i am more blessed than i can ever say,love,fear,joy,joy
i only will uploading photos which i feel so sweet to share with all of you lovers,love,fear,love,joy
i spend obsessing over my decisions and feeling anxious,fear,fear,fear,sadness
i feel alan clay who is rather pathetic has a huge mass on the back of his neck that he is convinced is cancer,sadness,fear,sadness,joy
i will always help others in any way i can but if you don t feel it within you to do the work and to finally learn to love yourself then my help and motivation will be in vain,sadness,fear,sadness,joy
i know the pain parents feel when an enraged child becomes violent,anger,fear,anger,sadness
i can feel the cold wind,anger,fear,anger,joy
i am feeling called to show up in a more faithful way,love,fear,joy,joy
im feeling stressed about upcoming events drowning in feelings of being overwhelmed with how much i need to do in order to get my house back in order and the long week i have ahead of me that my husband will be out of town,anger,fear,sadness,sadness
i will stop feeling heartbroken when i see my unfollows,sadness,fear,sadness,sadness
i get the feeling that he is brewing up some kind of moronic shit storm,sadness,fear,sadness,joy
i was feeling pretty wimpy in it,fear,fear,fear,sadness
i want to know feelings i never felt before but will i ever experience your gentle touch again,love,fear,love,joy
i think for myself i feel everyone is greedy but in their own little ways whether that is going for the good or bad way thats another issue because usually you link both together but right now im trying to separate both issue separately so we can see the sole topic more cleary,anger,fear,anger,joy
i actually feel frightened of people here right now,fear,fear,fear,sadness
i will actually feel comfortable speaking to others in just japanese i feel pretty happy about my current progress,joy,fear,joy,joy
i inspired but i came away feeling rejuvenated and invigorated,joy,fear,joy,joy
i get to know about it the more guilty i feel for not being as faithful as these guys are,love,fear,joy,joy
i nuh must feel joyful and victorious,joy,fear,joy,joy
i feel quite photographically lethargic and drained its difficult to explain but im really happy my school semester is coming to an end,sadness,fear,sadness,sadness
i did get up to go and see the gp who told me i had probably been over confident that i should have rested for longer that this time i was to go to bed and not get up until hours after i feel better,joy,fear,joy,joy
i am still feeling joyful at rest at peace and that nothing nothing nothing can stop me,joy,fear,joy,joy
i am feeling very shaky today,fear,fear,fear,sadness
i assert it is better to feel rich than to be rich,joy,fear,joy,joy
i probably should have written this closer to thanksgiving but i was busy and frankly not feeling particularly lucky,joy,fear,joy,sadness
i feel about femme fatale except its not cute anymore now that its pretty obvious that britneys not in control of her life that shes so burnt out and yet i get the impression shes almost forced into this career to the point that she just cant or wont deliver anymore,joy,fear,joy,sadness
i say walking away and shaking my head feeling a little dazed to get the drinks,surprise,fear,surprise,sadness
i can make him feel a christ isnt he the most delicious creature youve ever seen,joy,fear,joy,joy
i feel our children are caught up in these unfortunate situations by no fault of their own and they so deserve to have a voice and someone to be there just for them and their best interests,sadness,fear,sadness,joy
i feel regret for my beloved city,love,fear,joy,sadness
i have every right to feel outraged that their legacy may be in danger,anger,fear,anger,sadness
i feel and yet your still hesitant to tell me,fear,fear,fear,sadness
i was feeling a bit casual and put on a plain tank top with loose bottoms i got from zara,joy,fear,joy,joy
being subject to unfair treatment in a working group,anger,fear,anger,sadness
i have a feeling that there will be plenty of football watching and that we will be indulging in many delicious eats this weekend,joy,fear,joy,joy
im not feeling lucky,joy,fear,joy,sadness
i feel peaceful it s ok,joy,fear,joy,joy
i only tried for three and i can still feel the longing that came with wanting a child,love,fear,love,joy
i didnt feel like moving around things were going just fine by themselves,joy,fear,joy,joy
i guess im a tough woman but i feel delicate,love,fear,love,sadness
i feel useful in the pulpit which i find ironic because i often question the efficacy of preaching,joy,fear,joy,joy
i feel that grits and even polenta are an unfortunate fate for corn,sadness,fear,sadness,joy
i went home from the bar and crashed at waking up at this morning feeling mostly fantastic,joy,fear,joy,sadness
i was feeling discouraged and disgruntled and i was a href http tracifishbowl,sadness,fear,sadness,sadness
i think i feel myself flushing don t be alarmed i m on a headache medicine that causes that sometimes,fear,fear,fear,sadness
i had been feeling like a lost duck because experiences in my life have aged my soul faster than my physical age and i didnt have many who understood,sadness,fear,sadness,sadness
i feel suspicious if there is no one outside like the rapture has happened or something,fear,fear,fear,joy
ive been struggling lately whenever i feel like saying something between having a reaction to myself of oh julia youre so clever and witty,joy,fear,joy,sadness
i feel extraordinarily clever,joy,fear,joy,joy
i love hanging with the kids feeling calm focused and relaxed a burgeoning garden working out spending time with friends and loved ones dinner parties celebrations creative time weekends away healthy house plants,joy,fear,joy,joy
im feeling overwhelmed by college with everything else that had happened this semester,fear,fear,surprise,sadness
i feel more like the girl i was when i was at i was fearless excited for life and discovery,joy,fear,joy,joy
i feel all ecstatic every time i see the new old opening credits on one tree hill a href http twitter,joy,fear,joy,joy
i remember feeling absolutely devastated when i heard that peach wasn t actually there to give me cake,sadness,fear,sadness,sadness
i feel im getting less and less vigorous,joy,fear,joy,joy
im here to tell you you arent alone if you feel vulnerable,fear,fear,fear,sadness
i could do was feel i felt thankful that her battle was over thankful that she was now in a place of serenity,joy,fear,joy,joy
i get that its easiest for them to jolt people into submission with electricity but i get the feeling that its becoming a more socially acceptable version of beating someone with a billy club,joy,fear,joy,joy
i often find myself feeling assaulted by a multitude of sense impressions,sadness,fear,fear,sadness
i feel amazing when i lift,surprise,fear,surprise,joy
i have been feeling strong and optimistic and then bam,joy,fear,joy,sadness
i gotta feeling da bul taewuhbeoryeo burn it up i gotta feeling niga ulbujitneun nal ah neoneun wiheomhae gal ttaekkaji gatsseo get away woooo becuz i m cuz i m dangerous b,anger,fear,anger,joy
i get scared i feel ignored i feel happy i get silly i choke on my own words i make wishes i have dreams and i still want to believe anything can happen in this world for an ordinary girl like you like me for an ordinary girl like you like me how are you,sadness,fear,sadness,sadness
i am sure the organisation themselves have the best of intentions though i disagree with them whole heartedly its just i get the feeling that some of the demostrators will be slightly hostile to students,anger,fear,anger,joy
i like the idea of wearing things that are comfortable and make me feel cute,joy,fear,joy,joy
i guess so walking around feeling cranky and mad,anger,fear,anger,sadness
i feel like copying the handsome boy say yay so fun,joy,fear,joy,joy
i feel invigorated and enthusiastic,joy,fear,joy,joy
i made it and enjoyed most of my run but now i m feeling greedy,anger,fear,anger,sadness
i feel listless but today was aiiiiighhhht,sadness,fear,sadness,joy
i heap the guilt on and feel worthless and embarrassed because of my lack of productivity,sadness,fear,sadness,sadness
im beginning to feel my way around the systems and im very impressed with the overall level of automation and control that goes into making memset what it is,surprise,fear,surprise,joy
i believe feeling duality spirituality suffering and growth in an upright position offers the manifestation of happiness simple joys and fulfillment,sadness,fear,joy,joy
i feel so honored to have been a part of this year,joy,fear,joy,joy
i just sat there feeling so empty and lost and scared,sadness,fear,sadness,sadness
i never want to be rude even when i feel someone has been rude to me and even then i don t want to i feel like i need to like if i don t crush the offender thoroughly i will be left in tears in front of everyone because i am so sensitive,anger,fear,anger,sadness
ive felt the last few days i feel fucking fantastic today,joy,fear,joy,sadness
i had then these were truly terrifying and still feel shaken and uneasy because of them,fear,fear,fear,sadness
i am feeling just so relieved right now,joy,fear,joy,joy
i know i can do it and in fact that i will but i feel terrified that the stories won t be as good as they could be and that any readers that i can actually convince to buy the book will read it and hate it and never want to read anything by me again,fear,fear,fear,joy
i feel delighted to contact you,joy,fear,joy,joy
i have my own mind and i feel like my mind is dangerous to my life,anger,fear,anger,sadness
i feel like a hot mess and i probably am,love,fear,love,sadness
im happy there are people in this world that have been so untouched by mental health issues that they feel it is cute to make light the plight of the affected but unfortunately they dont realize the damage they are doing,joy,fear,joy,sadness
i feel like i should have actively hated every single second rather than just borne it all,anger,fear,anger,sadness
i am keen to incorporate more use of recovery tool and i feel that as a tool this can useful in allowing patient control over their mental health,joy,fear,joy,joy
i have never met in real life but feel super bonded to through crisis pregnancies and genius children and my new friend sara at a href http everybitterthingissweet,joy,fear,love,joy
im feeling adventurous i get the philips better lemon chicken,joy,fear,joy,joy
i wish i could feel that more because i always lose sight of it but just remembering that is something amazing,joy,fear,surprise,sadness
i feel so humiliated because as i was spending my days off planning a beautiful wedding he was calling texting taking some other girl out and fucking her,sadness,fear,sadness,sadness
i do feel blamed for everything i,sadness,fear,sadness,sadness
im not sure that feeling slightly wronged by the police the sheriff or the tsa is always a bad thing,anger,fear,anger,joy
i am feeling convinced by the argument extended once by bal thackerey of not allowing pakistan to play on indian soil till they show by thought action and creed that they really want friendly relations with india,joy,fear,joy,joy
i feel like i shouldnt have even bothered,anger,fear,anger,sadness
i feel infuriated every time that the christmas season draws near,anger,fear,anger,joy
im confident a lot of people who feel that zimmerman should be punished,sadness,fear,sadness,joy
i have a feeling david is going to turn out to be a terrific father hes already exposing his newborn son to the world of the geek,joy,fear,joy,joy
when i was ditched by my girlfriend,sadness,fear,sadness,sadness
ive been feeling a little stupid because i dont know how,sadness,fear,sadness,sadness
i guess how this clouds your viewing depends on how you feel about filmic content personally i dont really give a shit what a film is saying so much as the way its being said and in this case the film is simply too great to ignore but its a sour note in an otherwise delicious orgy of depravity,joy,fear,joy,sadness
i feel people just don t know how to fish them properly and therefore are not as popular as they should be,joy,fear,joy,joy
i was feeling very festive i decided to paint my nails for the holiday events,joy,fear,joy,joy
i am feeling quite disorganised and distracted and i wish i could answer some of the questions i seem to be unable to block out or forget or answer with logical answers uuuugh,anger,fear,sadness,sadness
i feel it is worthwhile to document it for people who are not familiar with batch files,joy,fear,joy,joy
i feel ecstatic relived and most of all from the bottom of my heart truely grateful to,joy,fear,joy,joy
i need to work on better nutrition all the time because when i do i feel amazing,joy,fear,surprise,joy
i also feel that no one in the music school is really being very supportive of me on this,love,fear,love,sadness
i wake up real life husband i feel melancholy towards day,sadness,fear,sadness,sadness
i am so blessed and feel blessed to be able to share my creations with you,joy,fear,joy,joy
i feel everything around me is fucked everyone around me is falling to pieces,anger,fear,anger,sadness
i dont like the way i feel when i am angry,anger,fear,anger,sadness
ive never thought i would feel so guilty for trying to protect someones feelings,sadness,fear,sadness,sadness
i struggled with feeling like myself because myself liked bands and the s and david hockney and photography and collecting things and no body really understood those things because no body does understand you when you re,love,fear,love,sadness
i began to feel a little cold,anger,fear,anger,joy
i feel amazing after every thrift trip i got on and to have some many in a small amount of time if my idea of bliss once i am earning again i will re claim my crown of thrift princess,surprise,fear,surprise,joy
i get the feeling she doesnt really want to talk to me now so im hesitant on what to do from now on,fear,fear,fear,joy
i am not a regular member of this group meaning that i do not follow whats going on very often and also i feel a bit shy in budding in when i do not have much to say but today i have a request for you people,fear,fear,fear,joy
i feel like staying in a barn so carefree,joy,fear,joy,joy
i left the hospital that night feeling helpless,sadness,fear,fear,sadness
im feeling slightly irritable but generally level headed and actually not in a bad mood,anger,fear,anger,sadness
i will reach out to you when i am feeling uncertain and needing the support or the slap upside the head that i know you can provide me,fear,fear,fear,sadness
i feel remorseful when i act the drunken fool too,sadness,fear,sadness,sadness
i only talk when i feel like i have something valuable to say,joy,fear,joy,joy
i honestly feel is almost tragic,sadness,fear,sadness,joy
ive been feeling a bit shitty about myself these past few days and there has been a sudden drop of self esteem going on,sadness,fear,sadness,sadness
i feel like an ass saying that since my sweet sister has gone through quite possibly the worst year of her life at the same time,joy,fear,joy,sadness
i feel fine about that,joy,fear,joy,joy
i figured out why i feel so crappy and so now i don t feel so crappy because a lot of feeling crappy comes from trying to figure out why certain negative emotions exist especially when my life is pretty damn good most of the time ya,sadness,fear,sadness,sadness
i am mostly feeling contentedly terrified about it all,fear,fear,joy,joy
i feel somewhat remorseful that i wont be around for this move in weekend but i think its for the better that i do this study if it doesnt seem like a good thing i can always back out and come home to oakland and everyone,sadness,fear,sadness,joy
i feel like i am really valuable to him,joy,fear,joy,joy
im feeling awfully proud of myself for sticking to it,joy,fear,joy,joy
ive collected as i feel its vital to create something precious from those items as a tribute to the earth and its power generosity,joy,fear,joy,joy
i want you on the trip that i feel is cool,joy,fear,joy,joy
i am feeling so low lately just feeling of hopelessness is very disturbing making me tired and sick entire of living this kind of life,sadness,fear,sadness,sadness
i dont forget it i embrace it i dont feel pity i feel proud,joy,fear,joy,joy
i was feeling quite impressed with myself for taking just eight months to finish just the lyrics for one fairly simple though sufficiently tortured emo song,surprise,fear,surprise,sadness
i miss it when i feel no one person who ignored me,sadness,fear,sadness,sadness
i also feel disappointed in his mother gertrude,sadness,fear,sadness,joy
im definitely feeling remorseful about,sadness,fear,sadness,sadness
i have been feeling strong and optimistic and then bam,joy,fear,joy,sadness
i still have a way to go but i am so much closer to the finish line than the start line and that feels amazing,joy,fear,surprise,joy
i also have the feeling i need a very relaxed practice today,joy,fear,joy,joy
i avoid saying fail because it makes me feel rotten and i know it is not good for my confidence,sadness,fear,sadness,sadness
i am feeling doubtful that nutritional methods alone will solve the problems,fear,fear,fear,joy
i hope he makes some friends and feels welcomed,joy,fear,joy,joy
im definitely feeling festive,joy,fear,joy,joy
ive been feeling lately that i am much less likeable than i used to be,joy,fear,joy,sadness
i can but i feel massively uncomfortable doing it it consumes massive amounts of processing power and i associate it with some very bad situations ive been in recently,fear,fear,fear,sadness
im really really sad that i missed the menswear show because i feel like its worth supporting this venture to show more menswear,joy,fear,sadness,joy
i feel all gloomy and i hate it,sadness,fear,sadness,sadness
im feeling so mellow right now and so im listening to coldplays song yellow,joy,fear,joy,sadness
im feeling really festive now tree is up amp decorated apart from the fairy shes still in the loft will have to go and find her tomorrow,joy,fear,joy,joy
i am too dazed confused and too drowned in what women looks for looks wise in a man and feel that i am doomed if i can t aspire to these,sadness,fear,sadness,sadness
i should have known she likes kamiki kun he laughs nozomi feels an unpleasant knot in her stomach you must think i m a fool don t you nonchan,sadness,fear,sadness,joy
i feel so bad that im posting this blog so late,sadness,fear,sadness,sadness
i have to admit these hilarious e cards are seriously exactly how i feel i am so stressed out i feel at any moment i could start hy,sadness,fear,sadness,sadness
i feel like i m watching another copy of my beloved son created for the english speaking world being wonderful clever and delightful in new and different ways,joy,fear,joy,joy
i feel that i m indulging him at times nor does it help that when we started talking his approach was more friend zone friendly than an i want to date you approach,joy,fear,joy,joy
i feel something inside paul saying fuck it lets do this lets go for it go for broke,sadness,fear,sadness,joy
i remembered seeing these pieces and feeling so impressed by them but seeing them again i was surprised i was blinded by my memories,surprise,fear,surprise,joy
im already not feeling terrific,joy,fear,joy,sadness
i know i dont live in new york anymore but i feel so outraged that this could happen in my city,anger,fear,anger,sadness
i feel like as much as it was an unfortunate situation that i wasnt with my father i was in a great place,sadness,fear,sadness,joy
i kinda like you when i saw hannah montana but since you broke up with nick i feel like you are so a heartless person,anger,fear,anger,sadness
im feeling pretty annoyed with the whole thing i decided to share those reasons we rejoice,anger,fear,anger,joy
i feel a little abused about this whole situation,sadness,fear,sadness,sadness
im feeling low i usually just want to lay in bed and do nothing,sadness,fear,sadness,sadness
i am being selfish but i feel like me trying to make him horny is redundant because he is always horny and i feel like he should try harder to make me horny,love,fear,anger,sadness
i got the feeling that steve was impressed that bi was used in manufacturing and not only in finance as in the us,surprise,fear,surprise,joy
i feel so amazed with myself as i could stride nonstop for more than minutes,surprise,fear,surprise,joy
i do feel tender,love,fear,love,joy
i keep going back to people are douche canoes because they need to feel superior they need that ego boost they need someone to look down upon,joy,fear,joy,sadness
i feel so rude saying i ll get back to you cause shes so nice and needs me but i d prefer to work in a href http www,anger,fear,anger,joy
im feeling playful google doodle of pac man game,joy,fear,joy,joy
i have been absolutely useless written about nothing at all and feel like im neglecting my faithful followers by failing to update the blog today,joy,fear,sadness,sadness
i feel bad for searching for rule,sadness,fear,sadness,sadness
insulted by disgusting people,anger,fear,anger,sadness
i hope i would be able to understand and not make my friend feel pressured into doing anything they did not want to do,fear,fear,fear,sadness
i had the love of my life in nathan been in love and shit and here was travis and i felt hardly anything and im sitting here feeling doomed that i would never again find someone who would give me that spark,sadness,fear,sadness,joy
i do feel sad for myself for not wanting that and thoughts extend up to a point that ill die alone,sadness,fear,sadness,sadness
i was alone in a cottage i often stay in i was woken up by a rustling sound in the middle of the night,fear,fear,fear,sadness
i normally feel kind of awkward at birthday dinner parties since theres always someone i dont know but not this time,sadness,fear,sadness,joy
i always feel kinda sad for them when the authority figures eventually show up on the scene and squeeze all of the risky fun out of their play time,sadness,fear,sadness,joy
i left for work feeling still unpleasant and cheered up a mite bit once i got there,sadness,fear,anger,sadness
i do really feel treasured by you too,love,fear,love,joy
i feel like it s boring,sadness,fear,sadness,joy
i am not a catholic i certainly don t feel it is my place to take sides on this issue but i am curious how the leadership of the catholic church will mesh with its own people over these issues in the coming years,surprise,fear,surprise,joy
i feel like im the bitter old lady who has had such a long life and just cant deal with it anymore,anger,fear,anger,sadness
i feel really fucked up still,anger,fear,anger,sadness
i feel sad donna summer dead at a href http jtwoo,sadness,fear,sadness,joy
i turned in for the night feeling about as mellow as could be expected given the circumstances,joy,fear,joy,sadness
i feel tranquil now,joy,fear,joy,joy
i wish i didnt feel this afraid to talk to new people,fear,fear,fear,sadness
i will try plead my case to those who may be feeling unloved and abandoned by me and those who cant empathise with my position read on,sadness,fear,sadness,sadness
i feel so vain when i look at myself and notice how much i like my nose or how nice my face structure is,sadness,fear,sadness,sadness
i do feel sympathetic to the parties involved now that their careers are down the drain,love,fear,love,joy
i was the compere at a party and all my efforts to get the show rolling were thwarted by the immobile,anger,fear,sadness,sadness
i feeling boring,sadness,fear,sadness,sadness
i could before the actual thing and then if i still couldn t figure out if i d feel embarrassed not knowing how to get in line or how to get a drink or where to park my car or whatever i just wouldn t go,sadness,fear,sadness,sadness
i had been feeling rather unhappy lately because id been feeling left out of groups friends,sadness,fear,sadness,sadness
i feel alone all the time and he just happened to be there,sadness,fear,sadness,sadness
i apply it i walk very fast around the room because the rush of air against the essence on my lips feels very cool,joy,fear,joy,joy
i could even feel his cold breath on my neck whispered hertha as she ran her fingers across the side of neck,anger,fear,anger,joy
i feel like it my beloved burkie who i miss more than words can ever say,joy,fear,joy,joy
i still feel very very disheartened,sadness,fear,sadness,sadness
the day i received the key of my apartment and we could enter in it,joy,fear,fear,joy
i get a little twitchy when i feel like someone is depending on me and i have to have a flawless job done in the end,joy,fear,joy,sadness
i declined this invitation but secretly i could not help but feel curious,surprise,fear,surprise,sadness
i again feel like going out in a friendly and safe environment i am booking a flight to pe,joy,fear,joy,joy
i want to feel pain in my chest when something terrible happens and i want to cry happy tears when something good happens,sadness,fear,sadness,sadness
i was beginning to feel almost jaded by backpacking i guess the endless bouncing around a title comfort v cash my backpacker struggle with overland travel href http www,sadness,fear,sadness,joy
i sit down to author this letter i feel a little surprised that an entire year has already passed us by,surprise,fear,surprise,sadness
i am terrified and not feeling terribly keen right now,joy,fear,joy,sadness
i had continued to think along those lines i probably would have done the dishes in anger and when he got up wed have had a fight about that with me feeling completely abused,sadness,fear,sadness,sadness
i tell mummy that my stomach really not feeling well i really wanna go to toilet mummy ask me keep on eating,joy,fear,joy,joy
i know you feel supporting an inept city manager who has cost the tax payers millions already with his bungling is important,joy,fear,sadness,sadness
i was feeling helpless as i could not explain it to him,sadness,fear,fear,sadness
i often feel like i am punished for the strengths i do have which is almost worse than no one even noticing my value,sadness,fear,sadness,sadness
ive finished it i feel foolish for having put any expectations on the story when i began reading it,sadness,fear,sadness,joy
i feel quite photographically lethargic and drained its difficult to explain but im really happy my school semester is coming to an end,sadness,fear,sadness,sadness
i feel beaten up and tired mentally and physically,sadness,fear,sadness,sadness
i really feel like i have a lot to offer in this area i would like to focus on troubled teenagers,sadness,fear,sadness,joy
i feel blessed that they enjoy those activities just like i do,joy,fear,joy,joy
i want to be someone that people can approach and feel accepted by and not judged because i do feel that people feel judged by me,joy,fear,joy,joy
i heard it somehow it brings me good feeling strange,fear,fear,fear,joy
i have been feeling beaten down sick and utterly devoid of hope that i will ever have the life i want,sadness,fear,sadness,sadness
im feeling so devastated by losing something that others may see as trivial my god takes on that weight as if it was his own,sadness,fear,sadness,sadness
i feel a little uptight because i have to really be conscious and careful about everything that happens,fear,fear,fear,joy
i feel delicious thanks,joy,fear,joy,joy
i got contact lenses the other day and am trying to get used to them i feel like my face looks really weird without glasses and its so strange when i see myself from a distance,surprise,fear,fear,sadness
i have a feeling they ll think it s dumb so i d rather just do this on my own for a while,sadness,fear,sadness,joy
i feel useless and helpless and broken,sadness,fear,sadness,sadness
i feel that it is vital that the artist has a passion for what he she does,joy,fear,joy,joy
i just feel like i dont like supporting walmart because maceys has such good family values and is closed on sundays and isnt trying to take over mom and pop stores but i have to be a smart consumer too,love,fear,joy,joy
i didn t even think i was the type of person that could feel homesick,sadness,fear,sadness,sadness
i feel tortured by all this and im not quite sure how to handle it other then getting drunk non stop so as to not feel anything at all,fear,fear,fear,sadness
i feel that the world is a tragic and woeful place to live in,sadness,fear,sadness,sadness
i didnt feel the stress i was under at telstra was worth it and with out thinking i just resigned,sadness,fear,sadness,sadness
i feel so glad that i have a cool mama,joy,fear,joy,joy
i am feeling really needy right now,sadness,fear,sadness,sadness
i still don t feel so hot i said as aj frowned,love,fear,love,joy
i do not feel dumb any more,sadness,fear,sadness,joy
i am floating in the flashback feeling the heaviness of nostalgic heart,love,fear,love,sadness
i have been told that these same vendors feel like they might end up supporting much more than just one more platform as linux has many popular distribution releases these days,love,fear,joy,joy
i managed to put a stop to all the things i had been doing that left me feeling regretful and miserable everyday,sadness,fear,sadness,sadness
i feel so lucky to be guest posting for kristi over at a href http www,joy,fear,joy,joy
i feel unsure because my financial future thanks to the stupid law is at this point partly dependent on js integrity rejected and jilted by j after we took vows unsure and even a little worried about getting passport ability to do so,fear,fear,fear,sadness
i feel the loving presence of my parents daily even though they have both been physically dead for almost two decades now,love,fear,love,joy
i loved feeling lily move and have missed it so much,sadness,fear,sadness,joy
i feel jealous on sumthg tat i thk of,anger,fear,anger,joy
im feeling gloomy this weekend,sadness,fear,sadness,sadness
ive been feeling lately that i am much less likeable than i used to be,joy,fear,joy,sadness
i started to feel cold,anger,fear,anger,joy
i trust my kids however i feel helpless enough in here over so many things and i m upset at the lack of respect for the few little things i asked them not to do,fear,fear,fear,sadness
i feel increasingly passionate about,love,fear,love,joy
i told omangy that i was feeling violent and i wasnt in a good mood,anger,fear,anger,sadness
i was feeling fairly comfortable and i could think out a plan now,joy,fear,joy,joy
i am ready to cry because i feel such a sweet presence of the ruach hakodesh the holy spirit in my room with me right now,joy,fear,love,joy
i get through it pretty quickly but it just makes me feel like im not being respected,joy,fear,joy,sadness
i feel that im not talented in baking,joy,fear,joy,sadness
i am energetically pursuing my goals or i feel agitated and unable to sit still,anger,fear,anger,sadness
i was feeling very keen to get out of the camp site before they realised i had been given the best gift of all free accommodation and free services,joy,fear,joy,joy
i feel somewhat hopeless and pitiful,sadness,fear,sadness,sadness
i start to feel agitated inside,anger,fear,anger,sadness
i know he s feeling to me is sincere so i could tolerate these small trouble but i can t stand his this character in the performance of the sex life of husband and wife,joy,fear,joy,joy
i arrived at the monastery one week later i was feeling terrified,fear,fear,fear,joy
i didnt feel if i was having a shitty day i wouldnt usually come right out and say i was having a shitty day,sadness,fear,sadness,sadness
i feel offended if you question my results as unfair saying that i am lazy and all so why,anger,fear,anger,sadness
i was feeling fabulous until friday morning when i started to get these awful cramps at work,joy,fear,joy,sadness
i feel strong style color black line height,joy,fear,joy,joy
i can feel the awkwardness whenever i do something that was acceptable before but no longer is,joy,fear,joy,sadness
ive collected as i feel its vital to create something precious from those items as a tribute to the earth and its power generosity,joy,fear,joy,joy
